NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007327545;19/07/2024 12:41:58;23/01/2025 17:50:38;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Resuelto;19/07/2024 12:35:47;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007332795;25/07/2024 00:00:00;03/01/2025 10:09:26;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;24/07/2024 18:00:56;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007366234;23/08/2024 00:00:00;02/01/2025 17:59:33;N2_TIENDA_EVERIS;Critica;Resolved Pend;NO;;Critico;0;Cerrado;23/08/2024 13:25:44;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007401588;24/09/2024 15:51:14;31/01/2025 23:59:59;N2_DEVOPS_PCRM_TEF;Baja;Pendiente;NO;;Bajo;0;Cerrado;24/09/2024 13:35:30;44;01_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;1;2025;INC000007404956;27/09/2024 12:32:29;31/01/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Cerrado;27/09/2024 11:51:22;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007414190;10/10/2024 13:57:11;31/01/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:51:25;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007418624;10/10/2024 14:31:25;31/01/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Alto;0;Pendiente;10/10/2024 10:14:57;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007418896;10/10/2024 13:57:21;31/01/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:47:39;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007466529;26/11/2024 15:41:03;23/01/2025 17:45:39;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Resuelto;26/11/2024 15:34:27;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007467864;27/11/2024 17:05:06;23/01/2025 17:44:34;N2_TIENDA_EVERIS;Media;Resolved Pend;NO;;Medio;0;Cerrado;27/11/2024 16:58:21;44;01_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;1;2025;INC000007470744;05/12/2024 18:18:53;31/01/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;29/11/2024 17:17:54;44;01_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;1;2025;INC000007476197;05/12/2024 17:49:43;31/01/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;04/12/2024 09:48:58;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007480553;09/12/2024 11:12:53;31/01/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Critico;0;Pendiente;09/12/2024 10:31:40;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007482605;10/12/2024 12:32:05;22/01/2025 15:24:45;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Resuelto;10/12/2024 12:15:00;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007484459;11/12/2024 16:47:14;23/01/2025 17:37:07;N2_TIENDA_EVERIS;Baja;Resolved Pend;NO;;Bajo;0;Resuelto;11/12/2024 16:42:28;44;01_2025;
NTTDATA;NTTDATA N2;2;60;7x24;1;2025;INC000007484723;11/12/2024 17:53:14;31/01/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Critico;0;Resuelto;11/12/2024 16:26:54;44;01_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;1;2025;INC000007502996;23/12/2024 19:02:03;03/01/2025 16:45:21;N2_EVERIS_MIMOVISTAR;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;23/12/2024 12:31:44;44;01_2025;
