NOMPROV;ORGANIZACION;NIVEL;SLA;HORARIO;MES;ANIO;NUM_INCIDENTE;FECHA_INI;FECHA_FIN;GRUPO;PRIORIDAD;ESTADO;SUBESTADO;FECHA_REAPERTURA;IMPACTO;MINUTOSHAB;STATUS_ACTUAL;FECHACREACION;PROVEEDOR;PERIODO;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;3;2025;INC000007401588;24/09/2024 15:51:14;31/03/2025 23:59:59;N2_DEVOPS_PCRM_TEF;Baja;Pendiente;NO;;Bajo;0;Cerrado;24/09/2024 13:35:30;44;03_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;3;2025;INC000007404956;27/09/2024 12:32:29;26/03/2025 09:54:04;N3_EVERIS_WEBAPO;Baja;Resolved Pend;NO;;Bajo;0;Cerrado;27/09/2024 11:51:22;44;03_2025;
NTTDATA;NTTDATA N2;2;60;7x24;3;2025;INC000007414190;10/10/2024 13:57:11;31/03/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:51:25;44;03_2025;
NTTDATA;NTTDATA N2;2;60;7x24;3;2025;INC000007418624;10/10/2024 14:31:25;31/03/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Alto;0;Pendiente;10/10/2024 10:14:57;44;03_2025;
NTTDATA;NTTDATA N2;2;60;7x24;3;2025;INC000007418896;10/10/2024 13:57:21;31/03/2025 23:59:59;N2_TIENDA_EVERIS;Critica;Pendiente;NO;;Alto;0;Cerrado;10/10/2024 13:47:39;44;03_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;3;2025;INC000007470744;05/12/2024 18:18:53;31/03/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;29/11/2024 17:17:54;44;03_2025;
NTTDATA;NTTDAATA N3;3;4800;L a V 8 a 18;3;2025;INC000007476197;05/12/2024 17:49:43;31/03/2025 23:59:59;N3_EVERIS_WEBAPO;Baja;Pendiente;NO;;Bajo;0;Pendiente;04/12/2024 09:48:58;44;03_2025;
NTTDATA;NTTDATA N2;2;60;7x24;3;2025;INC000007480553;09/12/2024 11:12:53;31/03/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Critica;Pendiente;NO;;Critico;0;Pendiente;09/12/2024 10:31:40;44;03_2025;
NTTDATA;NTTDATA N2;2;1440;L a V 8 a 20;3;2025;INC000007542485;16/01/2025 14:50:00;31/03/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Critico;0;Pendiente;16/01/2025 14:34:28;44;03_2025;
NTTDATA;NTTDATA N2;2;1200;L a V 8 a 18;3;2025;INC000007543527;21/01/2025 07:57:57;31/03/2025 23:59:59;N2_EVERIS_MIMOVISTAR;Baja;Pendiente;NO;;Bajo;0;Cerrado;17/01/2025 12:01:05;44;03_2025;
