IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;4;INC000007616975;1;8;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007616978;1;29;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007616983;1;151;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007616990;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617164;1;174;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617174;1;2245;300;Vencido;1945;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617315;1;240;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617373;1;127;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617437;1;11;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617449;1;94;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617469;1;26;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617476;1;306;300;Vencido;6;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617535;1;28;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617584;1;29;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617695;1;202;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617710;1;378;300;Vencido;78;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617717;1;294;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617728;1;198;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617730;1;227;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617743;1;295;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617754;1;291;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617764;1;219;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617766;1;227;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617772;1;287;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617773;1;237;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617776;1;264;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617779;1;248;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617816;1;172;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617817;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617827;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617843;1;149;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617846;1;153;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617848;1;157;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;4;INC000007617865;1;172;300;No Vencido;0;Cerrado;
