IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;8;INC000007666577;1;97;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007772633;1;287;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007773778;1;263;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007774589;1;352;300;Vencido;52;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007774756;1;83;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007774795;1;332;300;Vencido;32;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007774993;1;210;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007775658;1;195;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007776556;1;40;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007778693;1;76;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007779359;1;83;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007780560;1;73;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007780615;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007780809;1;262;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781191;1;13;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781440;1;135;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781783;1;15;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781806;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781807;1;105;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781838;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007781839;1;61;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007782066;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007782307;1;481;300;Vencido;181;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007782386;1;188;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007782658;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783197;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783259;1;120;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783398;1;166;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783557;1;193;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783592;1;214;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783628;1;25;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783639;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783844;1;367;300;Vencido;67;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783955;1;45;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783970;1;177;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007783976;1;92;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784002;1;44;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007784060;1;90;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007784354;1;131;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784363;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784370;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784592;1;168;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784601;1;108;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784604;1;118;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784611;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784612;1;45;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784613;1;68;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784615;1;129;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784622;1;35;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784627;1;188;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784628;1;27;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784629;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784634;1;7;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784635;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784637;1;98;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784648;1;178;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784695;1;59;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007784709;1;58;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784710;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784711;1;111;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784714;1;182;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784715;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784720;1;164;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784721;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784723;1;87;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784728;1;95;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784733;1;49;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784736;1;77;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784737;1;66;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784742;1;2;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784744;1;168;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784745;1;181;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784753;1;123;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784763;1;122;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784767;1;120;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784773;1;122;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784775;1;167;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784776;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784777;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784779;1;60;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007784780;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784782;1;96;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784787;1;169;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784794;1;53;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784800;1;100;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784802;1;24;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784803;1;74;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784804;1;92;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784805;1;128;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784806;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784808;1;13;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784810;1;140;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784811;1;72;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784813;1;89;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784814;1;83;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784815;1;101;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784817;1;141;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784819;1;119;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784820;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784821;1;138;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784824;1;59;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784826;1;107;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784828;1;133;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784829;1;125;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784838;1;103;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784842;1;156;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784972;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007784981;1;171;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785002;1;26;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007785044;1;68;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785046;1;82;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785051;1;98;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785055;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785056;1;154;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785057;1;156;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785061;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785062;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785069;1;146;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785075;1;120;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785076;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785077;1;129;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785084;1;52;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785089;1;149;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785091;1;137;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785095;1;160;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785096;1;98;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;8;INC000007785106;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785107;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785109;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785114;1;53;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785115;1;95;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;8;INC000007785117;1;66;300;No Vencido;0;Cerrado;
