IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;2;INC000007557511;1;49;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007557770;1;176;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559801;1;180;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559833;1;164;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559834;1;200;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559848;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559857;1;260;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559858;1;158;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559859;1;171;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559881;1;247;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559887;1;178;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559924;1;266;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559985;1;183;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007559992;1;219;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560033;1;236;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560213;1;243;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560294;1;183;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560296;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560317;1;166;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560327;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560328;1;135;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560337;1;33;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560368;1;260;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560397;1;178;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560415;1;184;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560432;1;40;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560443;1;168;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560467;1;223;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560468;1;108;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560479;1;214;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560483;1;7;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560488;1;93;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560515;1;104;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560521;1;3;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560523;1;153;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560530;1;170;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560544;1;23;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560551;1;47;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560554;1;17;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560575;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560596;1;115;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560602;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560617;1;105;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560619;1;138;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560620;1;164;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560665;1;80;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560681;1;23;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560693;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560716;1;230;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560723;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560728;1;208;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560732;1;214;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560738;1;15;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560746;1;235;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560765;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560779;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560807;1;44;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560815;1;55;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560824;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560841;1;218;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560846;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560910;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560915;1;217;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560918;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560942;1;187;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560947;1;245;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560960;1;185;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007560983;1;223;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561415;1;28;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561434;1;60;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561435;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561441;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561445;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561460;1;25;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561471;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561496;1;22;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561508;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561519;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561522;1;65;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561559;1;89;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561563;1;39;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561564;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561568;1;31;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561586;1;27;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561594;1;146;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561604;1;68;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561615;1;12;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561618;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561626;1;145;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561654;1;105;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561674;1;12;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561697;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561713;1;130;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561715;1;307;300;Vencido;7;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561718;1;148;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561735;1;170;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561791;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007561909;1;252;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;2;INC000007562126;1;114;300;No Vencido;0;Cerrado;
