IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;1;INC000007466147;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007470245;1;37;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007471186;1;34;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007491167;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007497670;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007503263;1;11;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007508400;1;105;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007510199;1;105;300;No Vencido;0;Cancelado;
11;CONNECTIS Argentina;2025;1;INC000007517237;1;364;300;Vencido;64;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517299;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517467;1;29;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517469;1;67;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517477;1;36;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517514;1;70;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517515;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517520;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517565;1;24;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517568;1;28;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517592;1;52;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517594;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517626;1;12;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517627;1;59;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517634;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517637;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517640;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517649;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517652;1;143;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517657;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517805;1;36;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517806;1;39;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517808;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517814;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517822;1;111;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517887;1;131;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517892;1;26;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517893;1;149;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517918;1;76;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517924;1;1;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517931;1;103;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517945;1;93;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517946;1;2930;300;Vencido;2630;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517947;1;109;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517949;1;61;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517954;1;26;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517955;1;29;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517956;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517962;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517964;1;82;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517965;1;16;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517974;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517975;1;108;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517976;1;15;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517994;1;296;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007517996;1;76;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518000;1;62;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518001;1;63;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518003;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518016;1;1;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518028;1;73;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518034;1;77;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518041;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518047;1;196;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;1;INC000007518056;1;226;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518057;1;77;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518061;1;72;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518062;1;119;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518063;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518071;1;151;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518072;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518074;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518076;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518077;1;94;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518098;1;125;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518099;1;20;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518103;1;60;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518104;1;129;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518108;1;101;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518113;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518117;1;220;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518119;1;48;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518134;1;2;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518136;1;113;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518140;1;53;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518141;1;7;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518145;1;77;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518149;1;141;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518161;1;147;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518173;1;220;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518196;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518203;1;23;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518222;1;123;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518223;1;120;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518235;1;166;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518236;1;169;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518239;1;96;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518259;1;64;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518260;1;63;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518261;1;106;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518264;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518269;1;152;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518284;1;153;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518298;1;35;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518300;1;188;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518301;1;191;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518305;1;20;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518309;1;8;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518314;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518321;1;121;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518323;1;118;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518329;1;471;300;Vencido;171;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518333;1;100;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518336;1;46;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518348;1;164;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518358;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518368;1;23;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518378;1;42;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518382;1;110;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518387;1;118;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518395;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518416;1;146;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518429;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518439;1;80;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518440;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518441;1;308;300;Vencido;8;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518445;1;179;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518446;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518452;1;159;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518453;1;111;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518454;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518459;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518468;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518481;1;63;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518486;1;29;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518490;1;86;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518498;1;86;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518508;1;153;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518509;1;25;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518520;1;45;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518545;1;66;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518550;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518557;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518558;1;132;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518568;1;331;300;Vencido;31;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518569;1;151;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518570;1;3;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518580;1;136;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518581;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518582;1;145;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518592;1;13;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518593;1;12;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518611;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518612;1;83;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518616;1;206;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518626;1;126;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518634;1;43;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518635;1;120;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518636;1;71;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518639;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518648;1;93;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518674;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518675;1;3;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518677;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518678;1;189;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518690;1;170;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518691;1;84;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518706;1;36;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518711;1;90;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518717;1;230;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518722;1;103;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518724;1;212;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;1;INC000007518725;1;226;300;No Vencido;0;Resuelto;
11;CONNECTIS Argentina;2025;1;INC000007518730;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518734;1;15;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518735;1;214;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518747;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518748;1;23;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518749;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518750;1;126;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518755;1;220;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518757;1;22;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518779;1;49;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518782;1;96;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;1;INC000007518783;1;31;300;No Vencido;0;Cerrado;
