IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;7;INC000007676874;1;123;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007689139;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007693928;1;72;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007715532;1;74;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007718061;1;256;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007718510;1;55;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007718624;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719151;1;380;300;Vencido;80;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719271;1;37;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719319;1;47;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719507;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719809;1;195;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719830;1;43;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007719832;1;64;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;7;INC000007720204;1;230;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720213;1;223;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720231;1;158;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720241;1;149;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720245;1;233;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720246;1;207;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720256;1;225;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720268;1;191;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720284;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720294;1;147;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720298;1;154;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720300;1;163;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720308;1;176;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720324;1;204;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720326;1;207;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720338;1;208;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720348;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720355;1;151;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720369;1;200;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720385;1;205;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720388;1;206;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007720546;1;162;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721225;1;119;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;7;INC000007721229;1;287;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721231;1;52;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721283;1;165;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721309;1;167;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721314;1;79;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721317;1;178;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721319;1;47;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721320;1;161;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721323;1;178;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721326;1;242;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721335;1;144;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721341;1;98;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721343;1;102;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721355;1;108;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721365;1;129;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721379;1;119;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721381;1;263;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721386;1;223;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721388;1;19;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721389;1;77;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721392;1;142;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721393;1;329;300;Vencido;29;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721394;1;127;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721396;1;158;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721398;1;138;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;7;INC000007721399;1;162;300;No Vencido;0;Cerrado;
