IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;6;INC000007681175;1;258;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007681612;1;41;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007681640;1;154;300;No Vencido;0;Asignado;
11;CONNECTIS Argentina;2025;6;INC000007682447;1;35;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682493;1;78;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682495;1;75;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682640;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682720;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682743;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682830;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682831;1;42;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682834;1;95;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682838;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682886;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682887;1;30;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682888;1;128;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682907;1;83;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682935;1;25;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682950;1;2;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682955;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682965;1;51;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682968;1;34;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007682996;1;50;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683008;1;38;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683021;1;28;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683026;1;51;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683029;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683032;1;5;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683038;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683045;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683052;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683256;1;87;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683267;1;71;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683278;1;183;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683281;1;193;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683282;1;18;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683284;1;21;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683289;1;24;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683290;1;60;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683292;1;33;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683293;1;86;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683295;1;72;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683299;1;61;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683303;1;321;300;Vencido;21;Asignado;
11;CONNECTIS Argentina;2025;6;INC000007683309;1;96;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683310;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;6;INC000007683313;1;3;300;No Vencido;0;Cerrado;
