IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;3;INC000007360637;1;302;300;Vencido;2;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007580861;1;212;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007586338;1;458;300;Vencido;158;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007587786;1;980;300;Vencido;680;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007588899;1;78;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007588909;1;93;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007588959;1;75;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589189;1;50;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589270;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589320;1;170;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589327;1;158;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589334;1;160;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589359;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589374;1;147;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589383;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589390;1;150;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589397;1;50;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589402;1;88;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589407;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589422;1;56;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589427;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589429;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589433;1;62;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589435;1;55;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589436;1;65;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589444;1;144;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589449;1;156;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589460;1;37;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589461;1;53;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589474;1;14;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589476;1;10;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589501;1;69;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589510;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589548;1;71;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589549;1;172;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589550;1;211;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589562;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589597;1;174;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589718;1;182;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589728;1;127;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589764;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589794;1;9;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589799;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589815;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589824;1;25;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589828;1;163;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589832;1;81;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589834;1;138;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589855;1;43;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589868;1;70;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589870;1;32;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589875;1;52;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589876;1;6;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589886;1;136;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589887;1;143;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589894;1;132;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589902;1;128;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589917;1;260;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589928;1;155;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589943;1;145;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589946;1;99;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589977;1;171;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589978;1;8;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589988;1;102;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007589994;1;93;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590005;1;91;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590016;1;86;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590034;1;70;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590035;1;78;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590040;1;84;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590046;1;131;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590056;1;47;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590089;1;43;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590091;1;111;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590094;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590096;1;195;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590107;1;140;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590116;1;130;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590119;1;26;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590123;1;100;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;3;INC000007590127;1;103;300;No Vencido;0;Cerrado;
