IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;
11;CONNECTIS Argentina;2025;5;INC000007608736;1;248;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007627386;1;4;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007630543;1;86;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007640479;1;126;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007641771;1;239;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007644961;1;124;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007645418;1;109;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007646800;1;11;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007648942;1;85;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649001;1;75;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649023;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649062;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649076;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649152;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649256;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649267;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649275;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649276;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649278;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649289;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649292;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649293;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649307;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649314;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649321;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649326;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649327;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649337;1;0;300;No Vencido;0;Cerrado;
11;CONNECTIS Argentina;2025;5;INC000007649338;1;0;300;No Vencido;0;Cerrado;
