IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;ULTIMO_GRUPO;PRIORIDAD;IMPACTO;
44;NTTDATA;2025;4;INC000007618049;2;14;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007619532;2;24;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007619675;2;33;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007619755;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007619805;2;23;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007619837;2;6;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007621351;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007621774;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007622424;2;17;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007625404;2;35;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007625423;2;15;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007625705;2;43;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007625723;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007626203;2;6;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007626562;2;25;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007627841;2;36;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007629434;2;73;60;Vencido;13;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007630337;2;25;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007631000;2;2;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007631156;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007631245;2;20;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007639415;2;11;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007640632;2;16;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007640671;2;2;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007643159;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007643782;2;38;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007644521;2;23;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007644592;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007644703;2;3;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007645259;2;11;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007645345;2;5;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007646341;2;6;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;4;INC000007648551;2;3;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;4;INC000007629422;2;26;240;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Bajo;
44;NTTDATA;2025;4;INC000007629485;2;35;240;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Bajo;
44;NTTDATA;2025;4;INC000007617255;2;286;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007617462;2;105;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007617666;2;80;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007617710;2;274;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007617902;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007618428;2;15;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007618436;2;5;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007618690;2;2;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007619102;2;15;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007620066;2;18;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007620166;2;19;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007620176;2;42;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007620963;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007621040;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007621044;2;0;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007621210;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007621353;2;0;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007621487;2;0;1200;No Vencido;0;Cerrado;N2_DEVOPS_PCRM_TEF;Baja;Medio;
44;NTTDATA;2025;4;INC000007622121;2;1090;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007622142;2;1136;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007622186;2;1036;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007622462;2;1200;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007623200;2;29;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007623417;2;3;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007623421;2;11;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007623486;2;13;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007623969;2;120;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007624338;2;46;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007624674;2;8;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007624972;2;3;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007625044;2;36;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007625073;2;288;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007625256;2;113;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007626896;2;51;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007626900;2;38;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007627151;2;7;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007627256;2;17;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007627308;2;145;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007627762;2;0;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007628091;2;0;1200;No Vencido;0;Cerrado;N2_DEVOPS_PCRM_TEF;Baja;Bajo;
44;NTTDATA;2025;4;INC000007628395;2;1128;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007628505;2;1128;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;4;INC000007628715;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;4;INC000007629255;2;1128;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
