IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;ULTIMO_GRUPO;PRIORIDAD;IMPACTO;
44;NTTDATA;2025;1;INC000007517439;2;24;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;1;INC000007517513;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517526;2;27;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517543;2;69;60;Vencido;9;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517544;2;69;60;Vencido;9;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517557;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517607;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517647;2;6;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517863;2;10;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007517864;2;10;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007518060;2;48;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;1;INC000007518383;2;7;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007518629;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007519028;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007519563;2;7;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;1;INC000007519948;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
