IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;ULTIMO_GRUPO;PRIORIDAD;IMPACTO;
44;NTTDATA;2025;3;INC000007589511;2;28;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007589683;2;39;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007590527;2;54;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007590834;2;45;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007591338;2;11;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007592045;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007593450;2;7;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007594489;2;32;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007594503;2;15;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007594816;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007595462;2;39;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007595572;2;7;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007595638;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007595718;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007596322;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007596361;2;23;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007602521;2;17;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007603314;2;13;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007603350;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007603461;2;8;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007610648;2;52;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007611328;2;863;60;Vencido;803;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007611412;2;196;60;Vencido;136;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007611566;2;21;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007613307;2;3;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007614022;2;15;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007614057;2;4;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007615130;2;15;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007615304;2;11;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007615310;2;30;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007615746;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007616638;2;119;60;Vencido;59;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007616651;2;55;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007616750;2;24;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007616754;2;2;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007616759;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;3;INC000007616766;2;2;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;3;INC000007589784;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007589829;2;687;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007591025;2;88;1200;No Vencido;0;Pendiente;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007592131;2;10;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007592207;2;6;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007592766;2;1;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007592787;2;1;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007592846;2;19;1200;No Vencido;0;Cerrado;N2_DEVOPS_PCRM_TEF;Baja;Medio;
44;NTTDATA;2025;3;INC000007592967;2;74;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007593922;2;70;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007594220;2;17;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007594244;2;3;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007594727;2;0;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007595183;2;0;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007596243;2;0;1200;No Vencido;0;Cerrado;N2_DEVOPS_PCRM_TEF;Baja;Bajo;
44;NTTDATA;2025;3;INC000007597415;2;82;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007598590;2;21;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007599142;2;68;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007599164;2;52;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007599591;2;131;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007599765;2;4;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007600397;2;25;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007600981;2;3;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007600997;2;106;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007601063;2;10;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007601872;2;15;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007602187;2;140;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007603238;2;0;1200;No Vencido;0;Cerrado;N2_DEVOPS_PCRM_TEF;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605075;2;4;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605117;2;12;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605167;2;16;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605188;2;314;1200;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605457;2;1;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605530;2;8;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007605884;2;84;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007606075;2;38;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
44;NTTDATA;2025;3;INC000007607140;2;19;1200;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Baja;Bajo;
