IDPROV;PROV;ANIO;MES;NUM_INCIDENTE;NIVEL;MINUTOSHABILES;SLA;ESTADO;PENDIENTE;ESTADO_ACTUAL;ULTIMO_GRUPO;PRIORIDAD;IMPACTO;
44;NTTDATA;2025;5;INC000007649232;2;20;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007649274;2;56;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007649726;2;39;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007650376;2;62;60;Vencido;2;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Critico;
44;NTTDATA;2025;5;INC000007650578;2;139;60;Vencido;79;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007650599;2;18;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007651086;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007651437;2;38;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007655535;2;19;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007656361;2;41;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007656779;2;40;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007656793;2;31;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007656873;2;24;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007657436;2;31;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007657967;2;29;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007658164;2;40;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007658826;2;19;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007660231;2;45;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007660380;2;48;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007660668;2;6;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007662531;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007664410;2;37;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007666046;2;16;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007666733;2;6;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007666840;2;8;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007666911;2;12;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007666984;2;67;60;Vencido;7;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007667011;2;7;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007668190;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007668415;2;10;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007668905;2;4;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007669601;2;4;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007669832;2;3;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007671037;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007671051;2;10;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007672400;2;12;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007672721;2;2;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007673128;2;5;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007674039;2;21;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007674079;2;22;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007674930;2;28;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007674977;2;48;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007674978;2;49;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
44;NTTDATA;2025;5;INC000007679694;2;13;60;No Vencido;0;Cerrado;N2_EVERIS_MIMOVISTAR;Critica;Alto;
44;NTTDATA;2025;5;INC000007679768;2;26;60;No Vencido;0;Cerrado;N2_TIENDA_EVERIS;Critica;Alto;
